Strike,C_true,C_optimal,C_A,C_B,C_C,C_D,C_BD
600,439.20,439.17,439.17,439.18,439.18,439.24,439.14
700,369.61,369.56,369.56,369.56,369.56,369.65,369.92
800,309.65,309.59,309.59,309.58,309.59,309.69,309.86
900,258.70,258.61,258.61,258.61,258.61,258.72,258.90
1000,215.81,215.75,215.75,215.75,215.75,215.81,215.76
1100,179.93,179.88,179.88,179.88,179.88,179.92,179.80
1200,150.06,150.02,150.02,150.02,150.02,150.01,150.02
1300,125.24,125.20,125.21,125.20,125.20,125.22,125.09
1400,104.65,104.65,104.65,104.65,104.65,104.64,104.62
1500,87.57,87.56,87.56,87.56,87.57,87.54,87.61
1600,73.41,73.43,73.43,73.43,73.42,73.44,73.43
1700,61.65,61.69,61.69,61.69,61.69,61.69,61.64
1800,51.88,51.92,51.91,51.92,51.93,51.91,51.88
