Strike,C_optimal,C_A,C_B,C_C,C_D,C_BD
600,415.64,415.62,415.62,415.61,415.54,415.69
700,333.96,333.95,333.96,333.95,334.10,334.07
800,268.61,268.64,268.62,268.62,268.44,268.39
900,223.09,223.14,222.99,223.13,223.75,223.37
1000,191.72,191.74,191.78,191.75,192.05,191.87
1100,166.86,166.88,166.86,166.87,166.59,166.84
1200,145.46,145.49,145.49,145.48,145.09,145.52
1300,126.80,126.82,126.82,126.82,126.52,126.91
1400,110.47,110.48,110.48,110.50,110.35,110.58
1500,96.15,96.17,96.16,96.18,96.18,96.24
1600,83.68,83.68,83.69,83.69,83.82,83.73
1700,72.85,72.84,72.85,72.84,73.05,72.87
1800,63.48,63.47,63.47,63.46,63.70,63.49
