Strike,a_true,a_A,a_B,a_C,a_D,a_BD
600,0.1033,0.1011,0.1019,0.0976,0.1002,0.1017
700,0.0609,0.0597,0.0614,0.0575,0.0649,0.0671
800,0.0510,0.0497,0.0493,0.0478,0.0460,0.0472
900,0.0706,0.0749,0.0642,0.0728,0.0814,0.0744
1000,0.1500,0.1500,0.1573,0.1508,0.1456,0.1434
1100,0.2238,0.2254,0.2172,0.2228,0.1945,0.2109
1200,0.2361,0.2361,0.2392,0.2351,0.2218,0.2380
1300,0.2363,0.2354,0.2364,0.2363,0.2320,0.2422
1400,0.2285,0.2293,0.2276,0.2307,0.2306,0.2329
1500,0.2170,0.2178,0.2171,0.2185,0.2229,0.2178
1600,0.2052,0.2049,0.2053,0.2056,0.2126,0.2037
1700,0.1952,0.1944,0.1953,0.1929,0.2024,0.1929
1800,0.1881,0.1882,0.1879,0.1863,0.1941,0.1871
